tanggal,suhu_rata,kelembapan,curah_hujan,lama_penyinaran,angin,stasiun
09-05-2010,28.7,81.0,2.0,8.0,1.0,96737
11-05-2010,26.8,89.0,0.0,4.4,0.0,96737
12-05-2010,26.6,92.0,3.0,2.5,0.0,96737
13-05-2010,26.7,92.0,10.0,2.2,0.0,96737
14-05-2010,27.0,86.0,3.0,2.0,2.0,96737
16-05-2010,26.5,92.0,15.0,0.5,0.0,96737
17-05-2010,27.9,87.0,29.0,4.0,1.0,96737
18-05-2010,28.5,83.0,0.0,8.0,1.0,96737
19-05-2010,27.9,86.0,0.0,5.8,0.0,96737
21-05-2010,27.3,83.0,18.0,8.0,1.0,96737
22-05-2010,29.5,75.0,0.0,1.0,0.0,96737
23-05-2010,27.9,85.0,0.0,0.6,0.0,96737
25-05-2010,26.9,90.0,29.0,4.5,0.0,96737
26-05-2010,27.8,84.0,4.0,8.0,0.0,96737
27-05-2010,27.0,87.0,0.0,0.0,0.0,96737
28-05-2010,27.3,87.0,0.0,5.0,1.0,96737
29-05-2010,27.3,85.0,0.0,4.6,0.0,96737
30-05-2010,27.6,83.0,0.0,3.8,0.0,96737
31-05-2010,28.1,85.0,0.0,0.6,0.0,96737
01-06-2010,27.4,85.0,0.0,7.0,1.0,96737
02-06-2010,27.5,87.0,0.0,3.0,0.0,96737
03-06-2010,28.3,87.0,0.0,2.8,0.0,96737
04-06-2010,26.2,91.0,11.0,0.2,0.0,96737
05-06-2010,27.5,84.0,33.0,2.7,1.0,96737
06-06-2010,26.2,93.0,13.0,0.0,0.0,96737
07-06-2010,27.1,86.0,0.0,0.1,0.0,96737
08-06-2010,25.9,88.0,28.0,0.0,1.0,96737
09-06-2010,26.4,86.0,1.0,2.0,0.0,96737
10-06-2010,27.2,85.0,0.0,0.0,0.0,96737
11-06-2010,27.8,86.0,0.0,5.5,1.0,96737
12-06-2010,27.4,84.0,0.0,4.3,1.0,96737
14-06-2010,27.9,84.0,0.0,3.2,1.0,96737
15-06-2010,27.2,86.0,1.0,3.6,1.0,96737
16-06-2010,25.3,94.0,8.0,0.0,1.0,96737
17-06-2010,25.8,91.0,1.0,0.2,0.0,96737
19-06-2010,26.0,88.0,6.0,0.0,1.0,96737
21-06-2010,27.7,83.0,1.0,6.5,1.0,96737
22-06-2010,27.6,83.0,0.0,7.9,1.0,96737
23-06-2010,26.4,81.0,0.0,4.8,0.0,96737
24-06-2010,24.9,87.0,0.0,4.0,1.0,96737
25-06-2010,25.6,91.0,59.0,2.0,0.0,96737
26-06-2010,25.9,87.0,1.0,6.5,0.0,96737
27-06-2010,26.7,83.0,1.0,8.0,0.0,96737
28-06-2010,25.8,88.0,0.0,0.8,0.0,96737
29-06-2010,25.4,93.0,1.0,0.0,0.0,96737
30-06-2010,26.8,86.0,2.0,5.0,1.0,96737
01-07-2010,27.5,83.0,0.0,2.5,1.0,96737
03-07-2010,26.4,85.0,0.0,1.5,0.0,96737
04-07-2010,27.2,82.0,3.0,8.0,1.0,96737
05-07-2010,26.7,84.0,0.0,2.5,1.0,96737
06-07-2010,27.3,85.0,0.0,7.0,0.0,96737
07-07-2010,27.3,86.0,0.0,6.2,1.0,96737
08-07-2010,26.4,87.0,0.0,0.8,1.0,96737
09-07-2010,26.5,84.0,28.0,8.0,1.0,96737
10-07-2010,27.1,84.0,0.0,4.3,0.0,96737
12-07-2010,26.9,85.0,0.0,5.6,0.0,96737
13-07-2010,25.3,88.0,2.0,3.4,1.0,96737
14-07-2010,26.7,84.0,70.0,8.0,1.0,96737
15-07-2010,26.2,87.0,0.0,5.2,0.0,96737
16-07-2010,26.2,92.0,9.0,0.0,0.0,96737
17-07-2010,26.3,87.0,8.0,0.4,1.0,96737
18-07-2010,25.7,86.0,20.0,2.4,0.0,96737
19-07-2010,25.8,90.0,1.0,0.5,1.0,96737
20-07-2010,26.2,84.0,15.0,5.3,0.0,96737
21-07-2010,26.9,88.0,0.0,6.1,0.0,96737
22-07-2010,27.3,83.0,5.0,8.0,0.0,96737
23-07-2010,27.1,77.0,0.0,8.0,1.0,96737
24-07-2010,27.0,79.0,0.0,8.0,1.0,96737
25-07-2010,26.7,81.0,0.0,4.0,0.0,96737
27-07-2010,25.0,91.0,13.0,0.0,1.0,96737
28-07-2010,25.5,90.0,30.0,2.6,1.0,96737
